artifactName,artifactName1,country,material,material1,library,library1,size,size1,description,description1,moreUrl,imageUrl
Apothekenabgabegefäß aus Keramik,陶瓷药房分配器,中国,Keramik,Keramik,Ethnologisches Museum,民族博物馆,"Höhe x Breite: 7 x 3,8 cm",高x宽：7 x 3.8厘米,Arznei Abgabegefäß. In Form einer Flachvase weißgrauer Untergrund mit Päonien.,药品分配器。在一个平面花瓶的形式白灰色的牡丹背景。,https://id.smb.museum/object/137232/apothekenabgabegefass-aus-keramik,https://recherche.smb.museum/images/59/598416_1200x1200.jpg
Decke (aus einem Rangabzeichen),毯子（来自军衔徽章）,中国,Textil,文本,Ethnologisches Museum,民族博物馆,"Höhe x Breite: 38,5 x 40 cm",高x宽：38.5 x 40厘米,,,https://id.smb.museum/object/146856/decke-aus-einem-rangabzeichen,https://recherche.smb.museum/images/48/4832992_1200x1200.jpg
Leibbinde,车身,中国,Stoff; Plastik,织物塑料,Ethnologisches Museum,民族博物馆,,,Mittlere Leibbinde in einer Plastikverpackung.,塑料包装的中号围兜。,https://id.smb.museum/object/137521/leibbinde,https://recherche.smb.museum/images/59/598514_1200x1200.jpg
Frauenschleier,女式面纱,中国,"Baumwolle, Seide, Metallfaden",棉、丝、金属线,Ethnologisches Museum,民族博物馆,Höhe x Breite: 46 x 37 cm,高x宽：46 x 37厘米,Frauenschleier,女式面纱,https://id.smb.museum/object/187822/frauenschleier,https://recherche.smb.museum/images/73/737098_1200x1200.jpg
Teller (Gefäßkeramik),板材（陶瓷容器）,中国,"Steinzeug, gelbliche, grüne und ockerfarbene Glasur",石器，黄、绿、赭釉,Museum für Islamische Kunst,伊斯兰艺术博物馆,"Höhe: 3,5 cm,Durchmesser: 21 cm,Wandungsstärke: ca. 0,7 cm",高度：3.5厘米，直径：21厘米，壁厚：约0.7厘米,"Teller mit steilem Rand, der innen und außen mit alternierend mit gelblichen, grünen und ockerfarbenen Glasurstreifen dekoriert ist, während der größte Teil des Bodens innen unglasiert blieb.",边缘陡峭的盘子，内外用交替的黄色、绿色和赭色釉条装饰，而大部分地板内部仍然没有上釉。,https://id.smb.museum/object/1520932/teller-gefasskeramik,https://recherche.smb.museum/images/43/4362589_1200x1200.jpg
Apothekenschrank (Mittelteil Mitte),药柜（中间部分）,中国,"Holz, Glas",Holz，Glass,Ethnologisches Museum,民族博物馆,"Objektmaß: 78 x 77,5 x 39 cm,Objektmaß: 245,5 x 339,5 x 39 cm (Schrankwand gesamt I D 42029-42037)","物体尺寸：78 x 77.5 x 39 cm，物体尺寸：245,5 x 339,5 x 39 cm（整个橱柜墙I D 42029-42037）",Mittelteil zur Chinesischen Apotheke. Teile 2-5 Schubläden,中药学。第2-5部分抽屉,https://id.smb.museum/object/140692/apothekenschrank-mittelteil-mitte,https://recherche.smb.museum/images/59/598187_1200x1200.jpg
Fries,薯条,中国,Holz mit Resten von Malschicht,带有油漆层残留物的木材,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 51,3 x 24,8 x 2,9 cm,Gewicht: 0,6 kg",高x宽x深：51.3 x 24.8 x 2.9厘米，重量：0.6公斤,"Dieses einst bunt bemalte Holzpaneel wird von einem gezackten Muster geziert und imitiert einen Bettvorhang, wie das auch von Wandmalereien aus Kizil bekannt ist, wo der Buddha auf seinem Totenbett liegt. Ein ähnlicher dreieckiger Volant aus Seide wurde in Tumshuk gefunden.",这块曾经彩绘过的木板上装饰着锯齿状图案，模仿了床帘，这在克孜尔的壁画中也很有名，佛陀就躺在那里弥留之际。在图姆舒克也发现了类似的三角形丝绸荷叶边。,https://id.smb.museum/object/1792209/fries,https://recherche.smb.museum/images/58/5842908_1200x1200.jpg
Rohdroge,Predictor,中国,,,Ethnologisches Museum,民族博物馆,,,,,https://id.smb.museum/object/140960/rohdroge,https://recherche.smb.museum/images/59/598578_1200x1200.jpg
Keramikgefäß,陶瓷器皿,中国,Keramik,Keramik,Ethnologisches Museum,民族博物馆,"Höhe x Durchmesser: 19,3 x 18,5 cm,Gewicht: 1,7 kg",身高x直径：19.3 x 18.5厘米，重量：1.7公斤,,,https://id.smb.museum/object/136875/keramikgefass,https://recherche.smb.museum/images/59/598491_1200x1200.jpg
Rohdroge,Predictor,中国,,,Ethnologisches Museum,民族博物馆,,,,,https://id.smb.museum/object/140975/rohdroge,https://recherche.smb.museum/images/86/868381_1200x1200.jpg
Porzellangefäß mit Deckel,带盖瓷瓶,中国,Porzellan,波尔泽兰,Ethnologisches Museum,民族博物馆,"Höhe x Durchmesser: 32 x 22 cm,Gewicht: 2 kg",高x直径：32 x 22厘米，重量：2公斤,"1. Ansicht :oben:kINDER BEI EINEM kARPFENBECKEN; darunter Blumen- und Vogelmalerei, UMGEBEN VON Blumen, verso: Gedicht",1.视图：顶部：水池顶部的knder；包括花鸟画、花的环境、神韵：诗,https://id.smb.museum/object/140645/porzellangefass-mit-deckel,https://recherche.smb.museum/images/59/598172_1200x1200.jpg
Haarschmuck für Frauen,女性发饰,中国,"Baumwolle, Koralle, Silberblech, Glasperlen",棉花、珊瑚、银片、玻璃珠,Ethnologisches Museum,民族博物馆,"Höhe x Breite x Tiefe: 56 x 26 x 2,5 cm,Gewicht: < 2 kg,Transportmaß: 4 x 24 x 65 cm Transportkartonage",高x宽x深：56 x 26 x 2.5 cm，重量：<2 kg，运输尺寸：4 x 24 x 65 cm运输纸箱,Frauenhaarschmuck (Dolanen),女式发饰（Dolanen）,https://id.smb.museum/object/187851/haarschmuck-fur-frauen,https://recherche.smb.museum/images/13/1384013_1200x1200.jpg
Holzplanke,Holzplanke,中国,"Holz, bemalt und vergoldet",木材，涂漆和镀金,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 60,5 x 10,5 x 2,6 cm,Gewicht: 0,3 kg",高x宽x深：60.5 x 10.5 x 2.6厘米，重量：0.3公斤,"Dieses hölzerne Brett war ursprünglich reich mit Goldapplikationen verziert. Die Reste von schwarz, weiß und rot bemalten konzentrischen Bändern lassen vermuten, dass es sich um einen Nimbus handelte.",这块木板最初用金色贴花装饰得很华丽。黑色、白色和红色同心带的残骸表明这是一只灵兽。,https://id.smb.museum/object/1792213/holzplanke,https://recherche.smb.museum/images/58/5842089_1200x1200.jpg
Schale (Gefäßkeramik),碗（陶瓷器皿）,中国,Porzellan,波尔泽兰,Museum für Islamische Kunst,伊斯兰艺术博物馆,"Höhe: 5,5 cm,Durchmesser: 23 cm,Wandungsstärke: ca. 0,7 cm",高度：5.5厘米，直径：23厘米，壁厚：约0.7厘米,Schale mit fünf vertikalen Kerben und leicht gerillter Wandung.,碗有五个垂直的缺口和轻微的凹槽壁。,https://id.smb.museum/object/1520933/schale-gefasskeramik,https://recherche.smb.museum/images/43/4344030_1200x1200.jpg
Apothekenschrank (Unterteil Mitte),药柜（下部中心）,中国,Holz,木材,Ethnologisches Museum,民族博物馆,"Objektmaß: 89,5 x 77,5 x 39 cm,Objektmaß: 245,5 x 339,5 x 39 cm (Schrankwand gesamt I D 42029-42037)","物体尺寸：89.5 x 77.5 x 39厘米，物体尺寸：245,5 x 339,5 x 39厘米（整个橱柜墙I D 42029-42037）",Chinesische Apotheke.,中药学。,https://id.smb.museum/object/140693/apothekenschrank-unterteil-mitte,https://recherche.smb.museum/images/59/598188_1200x1200.jpg
Rohdroge,Predictor,中国,,,Ethnologisches Museum,民族博物馆,,,,,https://id.smb.museum/object/140976/rohdroge,https://recherche.smb.museum/images/59/598592_1200x1200.jpg
Rohdroge,Predictor,中国,,,Ethnologisches Museum,民族博物馆,,,,,https://id.smb.museum/object/140961/rohdroge,https://recherche.smb.museum/images/86/868385_1200x1200.jpg
Keramikgefäß,陶瓷器皿,中国,Keramik,Keramik,Ethnologisches Museum,民族博物馆,"Höhe x Durchmesser: 19,4 x 19 cm,Gewicht: ca. 1,7 kg",高度x直径：19.4 x 19厘米，重量：约1.7公斤,,,https://id.smb.museum/object/136876/keramikgefass,https://recherche.smb.museum/images/59/598492_1200x1200.jpg
Porzellangefäß mit Deckel,带盖瓷瓶,中国,Porzellan,波尔泽兰,Ethnologisches Museum,民族博物馆,"Allgemein: cm,Gewicht: 2,2 kg","一般：cm，重量：2,2 kg",,,https://id.smb.museum/object/140646/porzellangefass-mit-deckel,https://recherche.smb.museum/images/59/598173_1200x1200.jpg
Apothekenabgabegefäß aus Keramik,陶瓷药房分配器,中国,Keramik,Keramik,Ethnologisches Museum,民族博物馆,"Höhe x Breite: 6,5 x 2,2 cm",高x宽：6.5 x 2.2厘米,Arznei Abgabegefäß in Form eines Zylinders Weißgrauer Untergrund mit Personen.,圆筒状的药品分配器，白色灰色背景，有人。,https://id.smb.museum/object/137245/apothekenabgabegefass-aus-keramik,https://recherche.smb.museum/images/85/858326_1200x1200.jpg
Phylakterium (gelbes Band),Phylacterium（黄色条带）,中国,Stoff,药物,Ethnologisches Museum,民族博物馆,"Durchmesser: 8,5 cm",直径：8.5厘米,Runder Stoffbeutel mit Medizin. Phylakterium mit gelben Band.,装药的圆形布袋。黄丝带藻。,https://id.smb.museum/object/137531/phylakterium-gelbes-band,https://recherche.smb.museum/images/86/868380_1200x1200.jpg
Rangabzeichen,军衔徽章,中国,Textil,文本,Ethnologisches Museum,民族博物馆,Höhe x Breite: 29 x 32 cm (lt. Karteikarte),高x宽：29 x 32厘米（根据索引卡）,,,https://id.smb.museum/object/2019749/rangabzeichen,https://recherche.smb.museum/images/49/4957979_1200x1200.jpg
Li Shizhen 李時珍,Li Shizhen李时珍,中国,Rot-Holz,红木,Ethnologisches Museum,民族博物馆,"Höhe x Breite: 21,3 x 12,5 cm",高x宽：21.3 x 12.5厘米,Li Shizhen aus Rotholz. 70er Jahre.,李时珍的红木。70年代。,https://id.smb.museum/object/137418/li-shizhen-%E6%9D%8E%E6%99%82%E7%8F%8D,https://recherche.smb.museum/images/86/865165_1200x1200.jpg
Medizin,医学,中国,"Seepferd, getrocknet",海马，干燥,Ethnologisches Museum,民族博物馆,Länge: 18 cm,长度：18厘米,Getrocknetes  Seepferdchen,干海马,https://id.smb.museum/object/137618/medizin,https://recherche.smb.museum/images/59/598568_1200x1200.jpg
Apothekenabgabegefäß aus Keramik,陶瓷药房分配器,中国,Keramik,Keramik,Ethnologisches Museum,民族博物馆,Höhe x Breite: 5 x 5 cm,高x宽：5 x 5厘米,"Arznei Abgabegefäß in Form eines Bocksbeutels.
Farbe braun - weiß.",药袋形式的药品分配器。,https://id.smb.museum/object/137300/apothekenabgabegefass-aus-keramik,https://recherche.smb.museum/images/59/598474_1200x1200.jpg
Frauenhemd,女式衬衫,中国,Seide,丝,Ethnologisches Museum,民族博物馆,Höhe x Breite: 150 x 192 cm,高x宽：150 x 192厘米,"Frauenhemd mit Stickerei, dunkelrot.",深红色刺绣女式衬衫。,https://id.smb.museum/object/188142/frauenhemd,https://recherche.smb.museum/images/13/1335353_1200x1200.jpg
Kleiner Kopf,小头,中国,Lehm mit rötlicher Tonschicht,用现实的笔记学习,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 6,7 x 7,4 x 5,5 cm,Sockel: 7 x 4,5 x 4,5 cm,Höhe x Breite x Tiefe: 14 x 7,4 x 6,7 cm (mit Sockel),Gewicht: 0,25 kg (mit Sockel)",高x宽x深：6.7 x 7.4 x 5.5 cm，底座：7 x 4.5 x 4.5 cm，高x宽×深：14 x 7.4 x 6.7 cm（带底座），重量：0.25 kg（带底座,"Diesen kleinen Kopf aus Lehm ziert ein, an einen Turban erinnernder, Kopfschmuck. Die Gesichtspartie ist zwar stark verwittert, aber das milde Lächeln im Gesichtsausdruck dieser Figur ist immer noch deutlich erkennbar.",这个由粘土制成的小脑袋上装饰着一个让人想起头巾的头饰。虽然面部风化严重，但这个人物面部表情中温和的笑容仍然清晰可辨。,https://id.smb.museum/object/1840362/kleiner-kopf,https://recherche.smb.museum/images/58/5833696_1200x1200.jpg
Verkaufstisch (zum Apothekenschrank),销售台（到药柜）,中国,Holz,木材,Ethnologisches Museum,民族博物馆,"Objektmaß: 115 x 270 x 45,5 cm",物体尺寸：115 x 270 x 45.5厘米,Chinesische Apotheke.,中药学。,https://id.smb.museum/object/140694/verkaufstisch-zum-apothekenschrank,https://recherche.smb.museum/images/59/598189_1200x1200.jpg
Vase (Gefäßkeramik),花瓶（陶器）,中国,"Steinzeug, opake weißliche und braune Glasur",不透明的白色和棕色釉料石器,Museum für Islamische Kunst,伊斯兰艺术博物馆,"Höhe: 5,7 cm,Durchmesser: 7,2 cm,Wandungsstärke: ca. 0,3 cm",高度：5.7厘米，直径：7.2厘米，壁厚：约0.3厘米,"Kleine Vase mit einem einfachen Dekor aus Rosetten, die aus sieben Punkten gebildet sind. Das Gefäß ist auch innen teilweise glasiert.",一个小花瓶，有七个点组成的玫瑰花结装饰。容器内部也有部分玻璃。,https://id.smb.museum/object/1523296/vase-gefasskeramik,https://recherche.smb.museum/images/43/4398269_1200x1200.jpg
Rohdroge,Predictor,中国,,,Ethnologisches Museum,民族博物馆,,,,,https://id.smb.museum/object/140962/rohdroge,https://recherche.smb.museum/images/59/598579_1200x1200.jpg
Keramikgefäß,陶瓷器皿,中国,Keramik,Keramik,Ethnologisches Museum,民族博物馆,"Höhe x Durchmesser: 19,5 x 19 cm,Gewicht: 1,6 kg",身高x直径：19.5 x 19厘米，重量：1.6公斤,,,https://id.smb.museum/object/136877/keramikgefass,https://recherche.smb.museum/images/59/598493_1200x1200.jpg
Apothekengefäß aus Porzellan mit Deckel,带盖瓷瓶,中国,"Porzellan, bemalt",瓷器，涂漆,Ethnologisches Museum,民族博物馆,"Höhe x Durchmesser: 23,5 x 22,5 cm,Gewicht: 1,4 kg",高x直径：23.5 x 22.5厘米，重量：1.4公斤,Apothekenstandgefäß mit Deckel.,带盖子的药房支架。,https://id.smb.museum/object/140648/apothekengefass-aus-porzellan-mit-deckel,https://recherche.smb.museum/images/59/598175_1200x1200.jpg
Eines Kaiserlichen  Prinzen,一位皇子,中国,"Seide, Metallfäden, Ramie, Wirkerei (Kesi ), partielle Bemalungen",丝绸、金属线、苎麻、针织（克丝）、局部绘画,Ethnologisches Museum,民族博物馆,"Höhe x Breite: 28,7 x 30,5 cm",高x宽：28.7 x 30.5厘米,,,https://id.smb.museum/object/3208461/eines-kaiserlichen--prinzen,https://recherche.smb.museum/images/44/4485039_1200x1200.jpg
Rohdroge,Predictor,中国,,,Ethnologisches Museum,民族博物馆,,,,,https://id.smb.museum/object/140977/rohdroge,https://recherche.smb.museum/images/59/598593_1200x1200.jpg
Arzneigefäß,药用器皿,中国,Keramik,Keramik,Ethnologisches Museum,民族博物馆,"Höhe x Breite: 5,6 x 3,5 cm",高x宽：5.6 x 3.5厘米,Weißgrauer Untergrund mit blauen Blüten und Rest eines Etiketts. (Rundschulter-),白灰色背景，蓝色花朵和标签的其余部分。（圆肩）,https://id.smb.museum/object/136987/arzneigefass,https://recherche.smb.museum/images/86/862773_1200x1200.jpg
Tafel zur Dämonenabwehr,恶魔防御委员会,中国,"Holz, bemalt",木材，涂漆,Ethnologisches Museum,民族博物馆,Durchmesser: 21 cm,直径：21厘米,"Traditionelles Tür-Amulett zur Abschreckung unheilbringender Dämonen....Dämonenfratze mit Insignien der Macht: einem Schwert, dem  Schriftzeichen für König (wang 王) zwischen den Augen, mit den Acht Trigrammen des Yijing sowie den 太極 Taiji-Schriftzeichen auf der Stirn, nach oben abschließend das bandartige Siebengestirn.
Unschuld, Paul: Huichun- Rückkehr in den Frühling. Chinesische Heilkunde in historischen Objekten und Bildern, Berlin/München (Veröffentlichungen des Museums für Völkerkunde Berlin. Neue Folge 62, Abteilung Ostasien III. 1995, S. 201 (Tafl 154)",传统的门符，以阻止邪恶的恶魔。。。。魔面权标：剑，目间王字，额上有易经八卦和太极字，以七星彩带收尾。,https://id.smb.museum/object/137543/tafel-zur-damonenabwehr,https://recherche.smb.museum/images/59/598552_1200x1200.jpg
Li Shizhen 李時珍,Li Shizhen李时珍,中国,"Porzellan, gelb glasiert",黄釉瓷,Ethnologisches Museum,民族博物馆,Höhe x Breite: 17 x 14 cm,高x宽：17 x 14厘米,Li Shizhen Büste gelb.,李时珍来到波士顿。,https://id.smb.museum/object/137419/li-shizhen-%E6%9D%8E%E6%99%82%E7%8F%8D,https://recherche.smb.museum/images/86/865121_1200x1200.jpg
Medizin,医学,中国,"Seepferd, getrocknet",海马，干燥,Ethnologisches Museum,民族博物馆,"Länge: 20,5 cm",长度：20.5厘米,Getrocknetes Seepferd,干海马,https://id.smb.museum/object/137619/medizin,https://recherche.smb.museum/images/59/598569_1200x1200.jpg
Apothekenabgabegefäß aus Keramik,陶瓷药房分配器,中国,Keramik,Keramik,Ethnologisches Museum,民族博物馆,"Höhe x Breite: 5,5 x 3,3 cm",高x宽：5.5 x 3.3厘米,"Arznei Abgabegefäß in Form einer Amphore
oval Farbe hellgrün. (Amphora mit Griffen)",药物安瓿分配器,https://id.smb.museum/object/137317/apothekenabgabegefass-aus-keramik,https://recherche.smb.museum/images/86/868099_1200x1200.jpg
Frauenkleid,女式连衣裙,中国,"Seide, Baumwolle",丝绸、棉花,Ethnologisches Museum,民族博物馆,"Höhe x Breite: 123 x 260 cm (B: von Ärmel zu Ärmel),Gewicht: ca. 0,5 kg Transportgewicht: ca. 11 kg mit Ständerung,Transportmaß: 150 x 210 x 30 cm",高x宽：123 x 260厘米（B：从袖子到袖子），重量：约0.5公斤运输重量：带支架约11公斤，运输尺寸：150 x 210 x 30厘米,"alter Karteikarteneintrag: Frauenhemd, könglek.",旧索引卡条目：女式衬衫，könglek。,https://id.smb.museum/object/188143/frauenkleid,https://recherche.smb.museum/images/11/1191649_1200x1200.jpg
Kopffragment,头部碎片,中国,Schiefer,石板,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 7 x 5 x 3,5 cm,Höhe x Breite x Tiefe: 14,2 x 4,7 x 5,6 cm (mit Sockel),Sockel: 7 x 4,7 x 4,5 cm,Gewicht: 0,2 kg (mit Sockel)",高x宽x深：7 x 5 x 3.5 cm，高x宽×深：14.2 x 4.7 x 5.6 cm（带底座），底座：7 x 4.7 x 4.5 cm，重量：0.2 kg（带底座,"Dieses Köpfchen wurde aus schwarzem Schiefer gefertigt – sehr selten in der Turfan-Region. Seine Oberflächen sind spiegelglatt und zeugen von höchster Bildhauerkunst. Fundort Kocho ist nicht sicher, da die kleine Skulptur gekauft wurde.",这个头像是由黑色板岩制成的，在吐鲁番地区非常罕见。它的表面是镜面光滑的，证明了最高的雕塑艺术。地点Kocho不安全，因为小雕塑是购买的。,https://id.smb.museum/object/1840363/kopffragment,https://recherche.smb.museum/images/58/5836857_1200x1200.jpg
Fragment (Schale),片段（比例）,中国,"Irdenware, geritzt unter transparenter grünlicher Glasur",泥土，在透明的绿色釉下雕刻,Museum für Islamische Kunst,伊斯兰艺术博物馆,"Höhe: 6 cm,Breite: 10,4 cm,Wandungsstärke: ca. 0,5 cm",高：6厘米，宽：10.4厘米，壁厚：约0.5厘米,"Etwa zur Hälfte erhaltene kleine Schale mit einer steilen, leicht ausgestellten Wandung und einem hohen Standring, die innen und außen mit dünner grünlicher Glasur bedeckt ist. In der Mitte des Spiegels ist eine Blüte eingeritzt, um die Blattornamente angeordnet sind. Außen ist die Wandung mit einigen vertikalen Rippen versehen und auf dem Rand eingekerbt. 
Das Fragment gehört zu einer großen Gruppe von importierten chinesischen Gefäßen, die in Samarra gefunden wurden.",大约保存了一半的小碗，有一个陡峭的、略微张开的壁和一个高高的圆环，内外都覆盖着薄薄的绿色釉。镜子的中心是一朵雕刻的花，周围排列着树叶装饰物。在外侧，壁上设有一些垂直肋，并在边缘上形成缺口。,https://id.smb.museum/object/1529678/fragment-schale,https://recherche.smb.museum/images/49/4990352_1200x1200.jpg
